"Date","Price","Open","High","Low","Vol.","Change %"
"02/28/2021","1,228.50","1,243.92","1,258.57","1,216.10","","-1.24%"
"02/21/2021","1,243.89","1,271.99","1,290.50","1,231.03","","-2.17%"
"02/14/2021","1,271.44","1,317.23","1,317.65","1,260.10","","-3.46%"
"02/07/2021","1,317.05","1,319.80","1,341.79","1,311.95","","-0.13%"
"01/31/2021","1,318.79","1,346.53","1,366.30","1,305.44","","-2.11%"
"01/24/2021","1,347.22","1,355.04","1,365.48","1,336.56","","-0.46%"
"01/17/2021","1,353.41","1,343.97","1,371.32","1,333.98","","0.69%"
"01/10/2021","1,344.07","1,362.65","1,374.56","1,342.01","","-1.34%"
"01/03/2021","1,362.36","1,389.39","1,438.56","1,349.18","","-1.85%"
"12/27/2020","1,388.01","1,385.70","1,404.85","1,378.45","","0.28%"
"12/20/2020","1,384.17","1,395.95","1,433.26","1,374.12","","-0.46%"
"12/13/2020","1,390.61","1,385.11","1,409.67","1,355.60","","0.02%"
"12/06/2020","1,390.36","1,366.64","1,406.69","1,366.04","","1.70%"
"11/29/2020","1,367.07","1,343.73","1,376.14","1,322.57","","1.82%"
"11/22/2020","1,342.64","1,409.59","1,409.59","1,329.41","","-4.63%"
"11/15/2020","1,407.86","1,433.03","1,438.89","1,401.33","","-1.65%"
"11/08/2020","1,431.42","1,482.86","1,493.35","1,401.29","","-3.48%"
"11/01/2020","1,483.02","1,451.38","1,492.67","1,450.08","","2.20%"
"10/25/2020","1,451.13","1,457.58","1,467.39","1,437.79","","-0.43%"
"10/18/2020","1,457.44","1,470.56","1,480.59","1,448.62","","-0.85%"
"10/11/2020","1,469.96","1,481.76","1,484.14","1,452.95","","-0.55%"
"10/04/2020","1,478.15","1,468.82","1,486.81","1,454.30","","0.76%"
"09/27/2020","1,466.96","1,459.93","1,489.73","1,438.77","","0.50%"
"09/20/2020","1,459.63","1,509.07","1,513.73","1,450.22","","-3.29%"
"09/13/2020","1,509.31","1,517.22","1,531.56","1,494.44","","-0.42%"
"09/06/2020","1,515.62","1,456.12","1,529.35","1,454.91","","4.12%"
"08/30/2020","1,455.67","1,473.59","1,485.21","1,449.14","","-1.04%"
"08/23/2020","1,470.99","1,482.63","1,493.43","1,448.58","","-0.70%"
"08/16/2020","1,481.38","1,485.72","1,527.81","1,458.94","","-0.25%"
"08/09/2020","1,485.08","1,560.36","1,565.30","1,432.01","","-4.71%"
"08/02/2020","1,558.49","1,509.01","1,578.83","1,504.69","","3.27%"
"07/26/2020","1,509.13","1,487.14","1,535.70","1,484.66","","1.58%"
"07/19/2020","1,485.72","1,440.43","1,493.65","1,431.74","","3.19%"
"07/12/2020","1,439.77","1,426.33","1,445.58","1,389.48","","1.07%"
"07/05/2020","1,424.52","1,421.74","1,444.56","1,417.07","","0.23%"
"06/28/2020","1,421.31","1,435.56","1,447.48","1,407.40","","-0.97%"
