"Date","Price","Open","High","Low","Vol.","Change %"
"11/14/2021","210,300","212,384","214,517","210,097","","-0.91%"
"11/07/2021","212,221","206,195","212,728","205,210","","2.96%"
"10/31/2021","206,126","203,262","206,237","200,703","","1.42%"
"10/24/2021","203,240","203,677","205,867","201,842","","-0.07%"
"10/17/2021","203,376","201,886","206,192","201,221","","0.75%"
"10/10/2021","201,856","197,095","204,707","196,641","","2.42%"
"10/03/2021","197,080","195,499","199,030","194,278","","0.81%"
"09/26/2021","195,489","193,754","196,695","192,750","","0.91%"
"09/19/2021","193,719","192,977","195,885","191,508","","0.46%"
"09/12/2021","192,836","196,448","198,348","191,588","","-1.86%"
"09/05/2021","196,499","200,525","200,863","195,946","","-1.99%"
"08/29/2021","200,493","199,632","201,159","197,919","","0.49%"
"08/22/2021","199,520","195,590","199,820","195,097","","2.05%"
"08/15/2021","195,520","195,246","196,750","193,687","","0.32%"
"08/08/2021","194,902","194,408","195,260","185,780","","0.25%"
"08/01/2021","194,407","198,997","199,364","193,902","","-2.28%"
"07/25/2021","198,951","199,276","200,856","197,031","","-0.08%"
"07/18/2021","199,104","199,154","199,993","196,534","","-0.09%"
"07/11/2021","199,285","199,287","201,710","197,653","","0.10%"
"07/04/2021","199,088","198,498","200,810","196,862","","0.36%"
"06/27/2021","198,383","197,275","199,817","193,629","","0.58%"
"06/20/2021","197,247","194,545","198,813","194,033","","1.51%"
"06/13/2021","194,308","205,874","206,032","194,040","","-5.59%"
"06/06/2021","205,823","207,090","208,265","205,008","","-0.59%"
"05/30/2021","207,049","209,087","209,842","204,532","","-0.99%"
"05/23/2021","209,121","204,958","209,344","203,611","","2.06%"
"05/16/2021","204,901","201,415","205,622","201,202","","1.69%"
"05/09/2021","201,498","198,968","201,866","197,173","","1.36%"
"05/02/2021","198,799","193,311","200,093","193,081","","2.87%"
"04/25/2021","193,254","192,017","194,297","191,181","","0.78%"
"04/18/2021","191,755","193,259","194,360","191,045","","-0.73%"
"04/11/2021","193,174","191,285","194,190","188,431","","1.07%"
"04/04/2021","191,130","191,308","192,102","189,946","","-0.11%"
"03/28/2021","191,348","189,985","191,689","185,230","","0.77%"
"03/21/2021","189,884","189,990","190,501","187,226","","-0.03%"
"03/14/2021","189,934","188,350","191,461","187,737","","0.93%"
"03/07/2021","188,178","184,424","188,966","182,627","","2.12%"
"02/28/2021","184,271","184,773","187,555","182,023","","-0.26%"
"02/21/2021","184,755","187,923","191,614","183,124","","-1.68%"
"02/14/2021","187,909","191,495","192,927","185,976","","-1.79%"
"02/07/2021","191,336","190,953","194,085","190,211","","0.24%"
"01/31/2021","190,872","193,282","196,176","188,139","","-1.23%"
"01/24/2021","193,249","192,405","196,486","190,716","","0.53%"
"01/17/2021","192,239","189,579","193,962","188,126","","1.32%"
"01/10/2021","189,728","192,070","194,194","189,283","","-1.23%"
"01/03/2021","192,095","195,888","201,565","190,263","","-1.93%"
"12/27/2020","195,884","194,343","196,815","193,371","","0.91%"
"12/20/2020","194,110","194,453","197,282","192,290","","-0.09%"
"12/13/2020","194,291","191,323","195,345","188,803","","1.58%"
"12/06/2020","191,277","191,400","195,237","189,885","","-0.05%"
"11/29/2020","191,369","186,178","192,311","183,333","","2.81%"
"11/22/2020","186,144","194,258","194,774","184,781","","-4.17%"
"11/15/2020","194,250","198,085","198,591","192,783","","-1.66%"
"11/08/2020","197,527","201,719","203,447","195,323","","-2.04%"
"11/01/2020","201,650","196,491","202,605","196,095","","2.59%"
"10/25/2020","196,565","199,210","200,321","194,037","","-1.24%"
"10/18/2020","199,025","200,169","202,411","198,627","","-0.56%"
"10/11/2020","200,143","204,056","204,404","198,353","","-1.74%"
"10/04/2020","203,682","200,029","203,920","197,869","","1.89%"
"09/27/2020","199,901","196,369","201,834","194,795","","1.72%"
"09/20/2020","196,525","203,694","204,197","194,666","","-3.59%"
"09/13/2020","203,843","206,226","208,236","202,191","","-1.01%"
"09/06/2020","205,917","205,414","208,785","202,077","","0.25%"
"08/30/2020","205,403","207,012","211,006","203,937","","-0.74%"
"08/23/2020","206,942","205,396","208,894","202,459","","0.87%"
"08/16/2020","205,152","207,310","212,548","202,320","","-0.98%"
"08/09/2020","207,176","215,621","216,945","199,062","","-3.86%"
"08/02/2020","215,486","209,218","218,811","208,044","","3.08%"
"07/26/2020","209,054","201,507","209,322","201,447","","3.64%"
"07/19/2020","201,712","193,850","202,883","193,466","","4.17%"
"07/12/2020","193,630","192,311","194,487","187,748","","0.73%"
"07/05/2020","192,222","190,827","195,364","190,626","","0.75%"
"06/28/2020","190,790","189,893","192,778","189,069","","0.51%"
