"Date","Price","Open","High","Low","Vol.","Change %"
"06/01/2024","2,326.69","2,328.73","2,387.77","2,286.88","","-0.01%"
"05/01/2024","2,326.97","2,291.51","2,450.06","2,277.60","","1.86%"
"04/01/2024","2,284.57","2,239.59","2,431.53","2,228.54","","2.34%"
"03/01/2024","2,232.38","2,043.44","2,235.90","2,038.55","","9.26%"
"02/01/2024","2,043.24","2,037.59","2,065.42","1,984.30","","0.30%"
"01/01/2024","2,037.19","2,062.90","2,079.02","2,001.91","","-1.23%"
"12/01/2023","2,062.59","2,034.49","2,135.90","1,973.09","","1.32%"
"11/01/2023","2,035.75","1,983.01","2,052.09","1,931.73","","2.66%"
"10/01/2023","1,983.01","1,848.05","2,009.59","1,809.80","","7.27%"
"09/01/2023","1,848.58","1,939.86","1,953.06","1,846.34","","-4.70%"
"08/01/2023","1,939.74","1,965.10","1,966.24","1,884.35","","-1.24%"
"07/01/2023","1,964.19","1,919.40","1,987.59","1,902.68","","2.32%"
"06/01/2023","1,919.57","1,962.80","1,983.52","1,893.01","","-2.18%"
"05/01/2023","1,962.30","1,991.34","2,073.29","1,932.08","","-1.37%"
"04/01/2023","1,989.65","1,970.84","2,048.84","1,949.82","","1.11%"
"03/01/2023","1,967.90","1,827.24","2,010.19","1,809.40","","7.70%"
"02/01/2023","1,827.15","1,927.92","1,959.77","1,804.65","","-5.22%"
"01/01/2023","1,927.88","1,823.85","1,949.27","1,823.85","","5.67%"
"12/01/2022","1,824.40","1,768.54","1,833.39","1,765.32","","3.16%"
"11/01/2022","1,768.45","1,633.40","1,786.68","1,616.18","","8.29%"
"10/01/2022","1,633.12","1,661.30","1,729.73","1,617.21","","-1.60%"
"09/01/2022","1,659.67","1,711.09","1,735.37","1,614.35","","-2.98%"
"08/01/2022","1,710.70","1,765.05","1,807.90","1,709.10","","-3.09%"
"07/01/2022","1,765.22","1,807.31","1,814.36","1,680.78","","-2.31%"
"06/01/2022","1,806.89","1,837.37","1,877.38","1,802.20","","-1.64%"
"05/01/2022","1,837.09","1,896.09","1,910.03","1,786.95","","-3.13%"
"04/01/2022","1,896.40","1,937.51","1,998.60","1,872.19","","-2.11%"
"03/01/2022","1,937.23","1,908.19","2,070.29","1,890.03","","1.54%"
"02/01/2022","1,907.90","1,796.72","1,974.48","1,788.39","","6.20%"
"01/01/2022","1,796.47","1,830.14","1,853.98","1,779.88","","-1.75%"
"12/01/2021","1,828.39","1,774.15","1,830.58","1,753.84","","3.08%"
"11/01/2021","1,773.78","1,783.24","1,877.40","1,758.45","","-0.51%"
"10/01/2021","1,782.81","1,756.91","1,814.22","1,745.45","","1.49%"
"09/01/2021","1,756.66","1,813.57","1,834.55","1,721.07","","-3.13%"
"08/01/2021","1,813.43","1,814.34","1,832.10","1,684.77","","-0.01%"
"07/01/2021","1,813.58","1,770.06","1,833.99","1,765.47","","2.47%"
"06/01/2021","1,769.80","1,907.53","1,916.84","1,750.11","","-7.16%"
"05/01/2021","1,906.36","1,768.49","1,913.15","1,765.91","","7.79%"
"04/01/2021","1,768.59","1,708.09","1,798.29","1,705.42","","3.61%"
"03/01/2021","1,707.01","1,733.40","1,760.02","1,676.70","","-1.53%"
"02/01/2021","1,733.49","1,863.05","1,871.84","1,717.26","","-6.10%"
"01/01/2021","1,846.09","1,897.69","1,959.60","1,810.46","","-2.66%"
"12/01/2020","1,896.49","1,777.40","1,906.93","1,775.52","","6.72%"
"11/01/2020","1,777.02","1,878.59","1,965.92","1,764.69","","-5.37%"
"10/01/2020","1,877.95","1,885.80","1,933.45","1,859.67","","-0.40%"
"09/01/2020","1,885.44","1,967.63","1,992.38","1,848.45","","-4.28%"
"08/01/2020","1,969.75","1,980.98","2,073.41","1,864.30","","-0.25%"
"07/01/2020","1,974.69","1,781.60","1,981.22","1,757.68","","10.90%"
