"Date","Price","Open","High","Low","Vol.","Change %"
"06/23/2024","2,326.69","2,321.43","2,339.72","2,293.80","","0.22%"
"06/16/2024","2,321.51","2,331.27","2,368.77","2,306.66","","-0.47%"
"06/09/2024","2,332.52","2,296.00","2,341.70","2,287.31","","1.74%"
"06/02/2024","2,292.71","2,329.61","2,387.85","2,286.77","","-1.47%"
"05/26/2024","2,326.97","2,334.50","2,364.12","2,321.64","","-0.29%"
"05/19/2024","2,333.76","2,415.02","2,450.13","2,325.40","","-3.36%"
"05/12/2024","2,414.89","2,362.70","2,422.87","2,332.34","","2.32%"
"05/05/2024","2,360.14","2,302.50","2,378.45","2,291.79","","2.55%"
"04/28/2024","2,301.56","2,337.50","2,346.85","2,277.47","","-1.55%"
"04/21/2024","2,337.72","2,388.20","2,388.72","2,291.40","","-2.21%"
"04/14/2024","2,390.45","2,343.86","2,417.79","2,324.59","","2.01%"
"04/07/2024","2,343.43","2,322.00","2,431.53","2,302.86","","0.60%"
"03/31/2024","2,329.50","2,239.59","2,330.34","2,228.54","","4.35%"
"03/24/2024","2,232.38","2,165.79","2,235.90","2,163.50","","3.15%"
"03/17/2024","2,164.15","2,156.00","2,222.90","2,146.05","","0.40%"
"03/10/2024","2,155.54","2,177.71","2,189.04","2,150.59","","-1.01%"
"03/03/2024","2,177.51","2,082.09","2,195.20","2,079.45","","4.52%"
"02/25/2024","2,083.39","2,034.49","2,088.40","2,024.56","","2.34%"
"02/18/2024","2,035.72","2,013.16","2,041.43","2,011.57","","1.12%"
"02/11/2024","2,013.10","2,024.53","2,030.05","1,984.30","","-0.55%"
"02/04/2024","2,024.16","2,039.91","2,044.65","2,014.40","","-0.71%"
"01/28/2024","2,038.59","2,019.40","2,065.42","2,017.38","","1.00%"
"01/21/2024","2,018.34","2,029.90","2,037.92","2,010.15","","-0.53%"
"01/14/2024","2,029.09","2,048.09","2,059.25","2,001.91","","-0.96%"
"01/07/2024","2,048.72","2,044.08","2,062.35","2,013.32","","0.16%"
"12/31/2023","2,045.50","2,062.90","2,079.02","2,024.49","","-0.83%"
"12/24/2023","2,062.58","2,055.73","2,088.54","2,053.59","","0.47%"
"12/17/2023","2,052.98","2,020.09","2,070.65","2,015.99","","1.72%"
"12/10/2023","2,018.19","2,003.60","2,047.98","1,973.09","","0.74%"
"12/03/2023","2,003.39","2,071.25","2,135.90","1,994.74","","-3.26%"
"11/26/2023","2,070.90","2,002.78","2,075.34","2,000.67","","3.42%"
"11/19/2023","2,002.33","1,980.25","2,007.64","1,965.06","","1.13%"
"11/12/2023","1,980.01","1,937.05","1,993.94","1,931.73","","2.23%"
"11/05/2023","1,936.79","1,992.30","1,993.30","1,933.18","","-2.78%"
"10/29/2023","1,992.27","2,004.80","2,007.82","1,969.90","","-0.67%"
"10/22/2023","2,005.78","1,972.90","2,009.48","1,953.50","","1.25%"
"10/15/2023","1,981.04","1,929.30","1,997.27","1,907.65","","2.55%"
"10/08/2023","1,931.70","1,832.74","1,933.76","1,832.63","","5.43%"
"10/01/2023","1,832.26","1,848.13","1,849.06","1,810.10","","-0.87%"
"09/24/2023","1,848.31","1,925.24","1,927.26","1,846.34","","-3.98%"
"09/17/2023","1,924.99","1,924.19","1,947.80","1,913.40","","0.07%"
"09/10/2023","1,923.57","1,919.16","1,930.94","1,900.95","","0.30%"
"09/03/2023","1,917.81","1,940.49","1,946.42","1,914.80","","-1.08%"
"08/27/2023","1,938.80","1,916.09","1,953.44","1,912.83","","1.27%"
"08/20/2023","1,914.53","1,889.40","1,923.94","1,884.50","","1.39%"
"08/13/2023","1,888.19","1,913.67","1,916.55","1,884.50","","-1.31%"
"08/06/2023","1,913.32","1,942.59","1,946.81","1,910.94","","-1.46%"
"07/30/2023","1,941.62","1,959.49","1,972.44","1,929.40","","-0.90%"
"07/23/2023","1,959.20","1,962.09","1,982.24","1,942.61","","-0.05%"
"07/16/2023","1,960.23","1,954.90","1,987.59","1,945.82","","0.27%"
"07/09/2023","1,954.93","1,925.19","1,963.84","1,912.68","","1.59%"
"07/02/2023","1,924.28","1,919.40","1,935.17","1,902.68","","0.25%"
"06/25/2023","1,919.57","1,924.30","1,933.48","1,893.01","","-0.09%"
"06/18/2023","1,921.36","1,957.99","1,958.93","1,910.24","","-1.84%"
"06/11/2023","1,957.36","1,960.25","1,970.74","1,925.30","","-0.17%"
"06/04/2023","1,960.60","1,947.59","1,973.09","1,938.14","","0.67%"
"05/28/2023","1,947.63","1,944.09","1,983.52","1,932.08","","0.07%"
"05/21/2023","1,946.33","1,977.80","1,985.30","1,936.84","","-1.53%"
"05/14/2023","1,976.56","2,011.72","2,022.20","1,951.97","","-1.72%"
"05/07/2023","2,011.15","2,015.95","2,048.22","2,001.05","","-0.27%"
"04/30/2023","2,016.54","1,991.34","2,073.29","1,977.05","","1.35%"
"04/23/2023","1,989.65","1,981.34","2,009.51","1,973.74","","0.34%"
"04/16/2023","1,982.89","2,001.85","2,015.13","1,969.28","","-1.01%"
"04/09/2023","2,003.04","2,008.30","2,048.84","1,981.59","","-0.25%"
"04/02/2023","2,008.02","1,970.84","2,032.20","1,949.82","","2.04%"
"03/26/2023","1,967.90","1,977.66","1,987.84","1,943.68","","-0.47%"
"03/19/2023","1,977.22","1,987.59","2,010.19","1,934.33","","-0.54%"
"03/12/2023","1,987.93","1,869.01","1,989.80","1,869.01","","6.43%"
"03/05/2023","1,867.83","1,855.35","1,870.28","1,809.40","","0.69%"
"02/26/2023","1,854.97","1,812.01","1,856.47","1,804.65","","2.44%"
"02/19/2023","1,810.81","1,842.73","1,847.86","1,808.91","","-1.67%"
"02/12/2023","1,841.59","1,865.69","1,871.03","1,818.34","","-1.24%"
"02/05/2023","1,864.67","1,865.17","1,890.69","1,852.69","","-0.05%"
"01/29/2023","1,865.53","1,928.40","1,959.77","1,861.41","","-3.21%"
"01/22/2023","1,927.34","1,926.20","1,949.27","1,911.44","","0.04%"
"01/15/2023","1,926.57","1,920.39","1,937.72","1,896.56","","0.33%"
"01/08/2023","1,920.21","1,865.45","1,922.24","1,864.59","","2.92%"
"01/01/2023","1,865.71","1,823.85","1,870.37","1,823.85","","2.26%"
"12/25/2022","1,824.40","1,798.57","1,833.39","1,796.16","","1.47%"
"12/18/2022","1,797.91","1,793.13","1,824.39","1,783.48","","0.31%"
"12/11/2022","1,792.34","1,797.35","1,824.87","1,772.00","","-0.24%"
"12/04/2022","1,796.63","1,797.92","1,810.33","1,765.32","","-0.07%"
"11/27/2022","1,797.82","1,755.00","1,804.93","1,738.98","","2.37%"
"11/20/2022","1,756.14","1,750.82","1,761.58","1,728.25","","0.37%"
"11/13/2022","1,749.74","1,771.42","1,786.68","1,747.04","","-1.18%"
"11/06/2022","1,770.69","1,681.30","1,773.17","1,664.32","","5.38%"
"10/30/2022","1,680.27","1,643.69","1,682.17","1,616.18","","2.35%"
"10/23/2022","1,641.76","1,658.19","1,675.12","1,637.39","","-0.90%"
"10/16/2022","1,656.66","1,644.09","1,668.69","1,617.21","","0.89%"
"10/09/2022","1,642.10","1,696.13","1,700.13","1,639.73","","-3.11%"
"10/02/2022","1,694.78","1,660.84","1,729.64","1,658.55","","2.05%"
"09/25/2022","1,660.67","1,645.99","1,676.19","1,614.60","","1.01%"
"09/18/2022","1,644.09","1,675.89","1,688.89","1,639.99","","-1.86%"
"09/11/2022","1,675.32","1,716.76","1,735.36","1,653.47","","-2.43%"
"09/04/2022","1,717.05","1,713.39","1,730.29","1,691.10","","0.27%"
"08/28/2022","1,712.44","1,736.49","1,746.39","1,688.60","","-1.46%"
"08/21/2022","1,737.86","1,747.39","1,766.39","1,728.01","","-0.59%"
"08/14/2022","1,748.11","1,801.87","1,802.37","1,744.97","","-3.01%"
"08/07/2022","1,802.34","1,773.89","1,808.36","1,770.98","","1.53%"
"07/31/2022","1,775.15","1,765.79","1,795.79","1,754.97","","0.51%"
"07/24/2022","1,766.22","1,728.39","1,768.79","1,712.13","","2.24%"
"07/17/2022","1,727.46","1,708.49","1,739.99","1,681.25","","1.15%"
"07/10/2022","1,707.78","1,743.61","1,746.19","1,698.07","","-2.01%"
"07/03/2022","1,742.82","1,813.01","1,815.01","1,732.00","","-3.77%"
"06/26/2022","1,811.18","1,838.59","1,841.79","1,784.50","","-0.88%"
